id,yield,singleddg,totalddg,spin,TPSA,MolMR
a,87,-23.4551,-83.12743848,0.763,0.0,41.15000000000001
b,27,-24.8055,-84.48976161,0.76,0.0,41.10800000000002
c,57,-23.9665,-83.14626377,0.773,9.23,47.70200000000003
d,41,-23.8711,-83.23537012,0.762,0.0,45.88700000000003
e,46,-23.5592,-83.2008571,0.758,0.0,41.10800000000002
f,17,-23.494,-83.1745017,0.758,0.0,46.160000000000025
g,81,-23.6395,-82.63672606,0.757,9.23,47.70200000000003
h,45,-22.3186,-82.104598,0.76,0.0,45.88700000000002
i,64,-24.2357,-83.392875,0.764,0.0,41.10800000000002
j,26,-23.5624,-83.19646453,0.751,0.0,46.16000000000002
k,20,-22.9486,-83.40856274,0.72,28.37,52.48950000000002
l,43,-23.4871,-82.26524043,0.755,18.46,54.25400000000003
